urls,content,300DaysOfData
/feed/update/urn:li:activity:6857254111805497344/,"🏆 Day 291 of #300DaysOfData!🎯 On my Journey of Machine Learning and Deep Learning, I                    have read and implemented from PyImageSearch Blogs. Here, I have read about OpenCV, Loading and                    Displaying an Image, Accessing Pixels, Array Slicing and Cropping, Resizing Images, Rotating Image,                    Smoothing Image, Drawing on an Image and few more topics related to the same. I have also read about                    ML Project Lifecycle, Deployment Patterns and Pipeline Monitoring from Machine Learning Engineering                    for Production Specialization of Coursera. 📗 Notebook:🔰 OpenCV Notebook:                    https://lnkd.in/dmDhZAAz📈 I have presented the implementation of OpenCV in Resizing and                    Rotating and Image, Smoothing and Drawing on an Image here in the snapshot. I hope you will gain                    some insights and work on the same. I hope you will also spend some time learning the topics from                    the Book mentioned below. Excited about the days ahead !!💻 PyImageSearch :                    https://lnkd.in/dXTR8cMZ📚 Machine Learning Engineering for Production :                    https://lnkd.in/dpads35s📒 Journey on Machine Learning and Deep Learning                    : https://lnkd.in/d-aDKvq#66DaysOfData #machinelearning #deeplearning #datascience #artificialintelligence #linkedincommunity #linkedinupdate #computervision #python                    #PyImageSearch",True
/feed/update/urn:li:activity:6856497002616905728/,"🏆 Day 290 of #300DaysOfData!🎯 On my Journey of Machine Learning and Deep Learning, I have                    read and implemented about Object Detection and Fine Tuning, Image Segmentation, Tensors and Aspect                    Ratio, Arrays, Dataset and Data Loaders. I have also started the Machine Learning Engineering for                    Production Specialization from Coursera. Here, I have read about Steps of ML Project and Case Study,                    ML Project Lifecycle and few more topics related to the same from here. 📗 Notebook:🔰                    Object Detection: https://lnkd.in/gxXFhutp📈 I have presented the implementation of Dataset                    Class here in the snapshot. I hope you will gain some insights and work on the same. I hope you will                    also spend some time learning the topics from the Book mentioned below. Excited about the days ahead                    !!📒 Journey on Machine Learning and Deep Learning : https://lnkd.in/d-aDKvq📒                    Fastai : https://lnkd.in/dfDtfjs🖋📋Notes:I will truly appreciate your feedbacks                    and recommendations                    here.#66DaysOfData #machinelearning #deeplearning #datascience #artificialintelligence #linkedincommunity #linkedinupdate #computervision #python",True
/feed/update/urn:li:activity:6855749798197239808/,"🏆 Day 289 of #300DaysOfData!🎯 On my Journey of Machine Learning and Deep Learning, I                    have read and implemented from the book ""Approaching Almost Any Machine Learning Problem"". Here, I                    have read about Regression Metrics such as Mean Absolute and Average Error, Root Mean Squared Error,                    Squared Logarithmic Error, Mean Absolute Percentage Error, R-Squared and Coefficient of                    Determination, Cohen's Kappa Score, MCC Score and few more topics related to the same from here.                    📗 Notebook:🔰 Evaluation Metrics: https://lnkd.in/d273Ru4n📈 I have                    presented the implementation of Mean Absolute and Average Error, Squared Logarithmic Error, Mean                    Absolute Percentage Error, R-Squared and MCC Score here in the snapshot. I hope you will gain some                    insights and work on the same. I hope you will also spend some time learning the topics from the                    Book mentioned below. Excited about the days ahead !!📚 Approaching Almost Any Machine                    Learning Problem📒 Journey on Machine Learning and Deep Learning                    : https://lnkd.in/d-aDKvq📒 Fastai : https://lnkd.in/dfDtfjs📒                    AAML: https://lnkd.in/djFygNUb🖋📋Notes:I will truly appreciate your feedbacks and                    recommendations                    here.#66DaysOfData #machinelearning #deeplearning #AAML #datascience #artificialintelligence #linkedincommunity #linkedinupdate #computervision #python",True
/feed/update/urn:li:activity:6855068409781075968/,"🏆 Day 288 of #300DaysOfData!🎯 On my Journey of Machine Learning and Deep Learning, I                    have read and implemented from the book ""Approaching Almost Any Machine Learning Problem"". Here, I                    have read about Recall Metrics for Multiclass Classification, Weighted F1 Score, Confusion Matrix,                    Type I Error and Type II Error, AUC Curve, Multilabel Classification and Average Precision and few                    more topics related to the same from here. 📗 Notebook:🔰 Evaluation                    Metrics: https://lnkd.in/d273Ru4n📈 I have presented the implementation of Weighted F1                    Score and Average Precision here in the snapshot. I hope you will gain some insights and work on the                    same. I hope you will also spend some time learning the topics from the Book mentioned below.                    Excited about the days ahead !!📚 Approaching Almost Any Machine Learning Problem📒                    Journey on Machine Learning and Deep Learning : https://lnkd.in/d-aDKvq📒 Fastai                    : https://lnkd.in/dfDtfjs📒 AAML: https://lnkd.in/djFygNUb🖋📋Notes:I will                    truly appreciate your feedbacks and recommendations                    here.#66DaysOfData #machinelearning #deeplearning #AAML #datascience #artificialintelligence #linkedincommunity #linkedinupdate #computervision #python",True
/feed/update/urn:li:activity:6854379368140046336/,"🏆 Day 287 of #300DaysOfData!🎯 On my Journey of Machine Learning and Deep Learning, I                    have read and implemented from the book ""Approaching Almost Any Machine Learning Problem"". Here, I                    have read about Multiclass Classification, Macro Averaged Precision, Micro Averaged Precision,                    Weighted Precision, Recall Metrics, Random Forest Regressor, Mean Squared Error, Root Mean Squared                    Error and few more topics related to the same from here. 📗 Notebook:🔰 Evaluation                    Metrics: https://lnkd.in/d273Ru4n📈 I have presented the implementation of Micro                    Averaged Precision and Weighted Precision here in the snapshot. I hope you will gain some insights                    and work on the same. I hope you will also spend some time learning the topics from the Book                    mentioned below. Excited about the days ahead !!📚 Deep Learning for Coders with Fastai and                    PyTorch📒 Journey on Machine Learning and Deep Learning : https://lnkd.in/d-aDKvq📒                    Fastai : https://lnkd.in/dfDtfjs🖋📋Notes:I will truly appreciate your feedbacks                    and recommendations                    here.#66DaysOfData #machinelearning #deeplearning #AAML #datascience #artificialintelligence #linkedincommunity #linkedinupdate #computervision #python",True
/feed/update/urn:li:activity:6853597743101841408/,"🏆 Day 286 of #300DaysOfData!🎯 On my Journey of Machine Learning and Deep Learning, I                    have read and implemented from the book ""Approaching Almost Any Machine Learning Problem"". Here, I                    have read about True Positive Rate, Recall and Sensitivity, False Positive Rate and Specificity,                    Area Under ROC Curve, Prediction, Probability and Thresholds, Log Loss Function, Multiclass                    Classification and Macro Averaged Precision and few more topics related to the same from here.                    📗 Notebook:🔰 Evaluation Metrics: https://lnkd.in/d273Ru4n📈 I have                    presented the implementation of True Negative Rate, False Positive Rate, Log Loss Function and Macro                    Averaged Precision here in the snapshot. I hope you will gain some insights and work on the same. I                    hope you will also spend some time learning the topics from the Book mentioned below. Excited about                    the days ahead !!📚 Deep Learning for Coders with Fastai and PyTorch📒 Journey on                    Machine Learning and Deep Learning : https://lnkd.in/d-aDKvq📒 Fastai                    : https://lnkd.in/dfDtfjs🖋📋Notes: I will truly appreciate your feedbacks and                    recommendations here.                    #66DaysOfData #machinelearning #deeplearning #AAML #datascience #artificialintelligence #linkedincommunity #linkedinupdate #computervision #python",True
/feed/update/urn:li:activity:6852877137121185792/,"🏆 Day 285 of #300DaysOfData!🎯 On my Journey of Machine Learning and Deep Learning, I                    have read and implemented from the book ""Approaching Almost Any Machine Learning Problem"". Here, I                    have read about Evaluation Metrics and Accuracy Score, Training and Validation Set, Precision and                    Recall, True Positive and True Negative, False Positive and False Negative, Binary Classification                    and few more topics related to the same from here. 📗 Notebook:🔰 Evaluation                    Metrics: https://lnkd.in/d273Ru4n📈 I have presented the implementation of True                    Negative, False Negative, False Positive and Accuracy Score here in the snapshot. I hope you will                    gain some insights and work on the same. I hope you will also spend some time learning the topics                    from the Book mentioned below. Excited about the days ahead !!📚 Deep Learning for Coders                    with Fastai and PyTorch📒 Journey on Machine Learning and Deep Learning                    : https://lnkd.in/d-aDKvq📒 Fastai : https://lnkd.in/dfDtfjs🖋📋 Note: I                    will truly appreciate any feedbacks and suggestion about my posts so that it would be more helpful                    for you and anyone out there.                    #66DaysOfData #machinelearning #deeplearning #AAML #datascience #artificialintelligence #linkedincommunity #linkedinupdate #computervision #python",True
/feed/update/urn:li:activity:6852574995651039232/,"🏆 Day 284 of #300DaysOfData!🎯 On my Journey of Machine Learning and Deep Learning, I                    have read and implemented from the book ""Approaching Almost Any Machine Learning Problem"". Here, I                    have read about Stratified KFold Cross Validation, Skewed Dataset and Classification, Data                    Distribution, Hold Out Cross Validation, Time Series Data, Regression and Sturge's Rule,                    Probabilities, Evaluation Metrics and Accuracy and few more topics related to the same from here.                    📗 Notebook:🔰 Supervised and Unsupervised                    Learning: https://lnkd.in/d6tEjcCV📈 I have presented the implementation of                    Distribution of Labels and Stratified KFold here in the snapshot. I hope you will gain some insights                    and work on the same. I hope you will also spend some time learning the topics from the Book                    mentioned below. Excited about the days ahead !!📚 Deep Learning for Coders with Fastai and                    PyTorch📒 Journey on Machine Learning and Deep Learning : https://lnkd.in/d-aDKvq📒                    Fastai                    : https://lnkd.in/dfDtfjs#66DaysOfData #machinelearning #deeplearning #AAML #datascience #artificialintelligence #linkedincommunity #linkedinupdate #computervision #python",True
/feed/update/urn:li:activity:6852161943055151105/,"🏆 Day 283 of #300DaysOfData!📑 Cross Validation:Cross Validation is a step in                    the process of building a machine learning model which helps us to ensure that our models fit the                    data accurately and also ensures that we do not overfit.🎯 On my Journey of Machine Learning                    and Deep Learning, I have read and implemented from the book ""Approaching Almost Any Machine                    Learning Problem"". Here, I have read about Decision Trees and Classification, Features and                    Parameters, Accuracy and Model Predictions, Overfitting and Model Generalization, Training Loss and                    Validation Loss, Cross Validation and few more topics related to the same from here. 📗                    Notebook:🔰 Supervised and Unsupervised Learning: https://lnkd.in/d6tEjcCV📈 I have                    presented the implementation of Decision Tree Classifier and Model Evaluation here in the snapshot.                    I hope you will gain some insights and work on the same. I hope you will also spend some time                    learning the topics from the Book mentioned below. Excited about the days ahead !!📚 Deep                    Learning for Coders with Fastai and PyTorch📒 Journey on Machine Learning and Deep Learning                    : https://lnkd.in/d-aDKvq📒 Fastai                    : https://lnkd.in/dfDtfjs#66DaysOfData #machinelearning #deeplearning #AAML #datascience #artificialintelligence #linkedincommunity #linkedinupdate #computervision #python",True
/feed/update/urn:li:activity:6851416430101975040/,"🏆 Day 282 of #300DaysOfData!📑 Cross Validation: Cross Validation is a step                    in the process of building a machine learning model which helps us to ensure that our models fit the                    data accurately and also ensures that we do not overfit.🎯 On my Journey of Machine Learning                    and Deep Learning, I have read and implemented from the book ""Approaching Almost Any Machine                    Learning Problem"". Here, I have read about Supervised and Unsupervised Learning, Features, Samples                    and Targets, Classification and Regression, Clustering, T-Distributed Stochastic Neighbour                    Embedding, 2D Arrays, Cross Validation, Overfitting and few more topics related to the same from                    here. 📗 Notebook:🔰 Supervised and Unsupervised Learning:                    https://lnkd.in/d6tEjcCV📈 I have presented the implementation of TSNE Decomposition and                    Preparing Dataset here in the snapshot. I hope you will gain some insights and work on the same. I                    hope you will also spend some time learning the topics from the Book mentioned below. Excited about                    the days ahead !!📚 Deep Learning for Coders with Fastai and PyTorch📒 Journey on                    Machine Learning and Deep Learning : https://lnkd.in/d-aDKvq📒 Fastai                    : https://lnkd.in/dfDtfjs#66DaysOfData #machinelearning #deeplearning #AAML                    #datascience #artificialintelligence #linkedincommunity #linkedinupdate #computervision #python",True
/feed/update/urn:li:activity:6850773434188759040/,"🏆 Day 281 of #300DaysOfData!📑 Sensitivity & Specificity: - Sensitivity = True                    Positive / (True Positive + False Negative). It is also known as a Type II Error. -                    Specificity = True Negative / (False Positive + True Negative). It is also known as a Type I                    Error.🎯 On my Journey of Machine Learning and Deep Learning, I have read and implemented                    from the book ""Deep Learning for Coders with Fastai and PyTorch"". Here, I have read about                    Sensitivity and Specificity, Positive Predictive Value and Negative Predictive Value, Confusion                    Matrix and Model Interpretation, Type I & II Error, Accuracy and Prevalence and few more topics                    related to the same from here. 📗 Notebook:🔰 Chest X-Rays                    Classification: https://lnkd.in/gQsmTMQp📈 I have presented the implementation of                    Confusion Matrix, Sensitivity and Specificity, Accuracy using Fastai and PyTorch here in the                    snapshot. I hope you will gain some insights and work on the same. I hope you will also spend some                    time learning the topics from the Book mentioned below. Excited about the days ahead !!📚                    Deep Learning for Coders with Fastai and PyTorch📒 Journey on Machine Learning and Deep Learning                    : https://lnkd.in/d-aDKvq📒 Fastai                    : https://lnkd.in/dfDtfjs#66DaysOfData #machinelearning #deeplearning #fastai #datascience #artificialintelligence #linkedincommunity #linkedinupdate #computervision #python",True
/feed/update/urn:li:activity:6850042384693133312/,"🏆 Day 280 of #300DaysOfData!🎯 On my Journey of Machine Learning and Deep Learning, I                    have read and implemented from the book ""Deep Learning for Coders with Fastai and PyTorch"". Here, I                    have read about Binary Classification, Initializing Data Block and Data Loaders, Image Block and                    Category Block, Batch Transformations, Training Pretrained Model, Learning Rate Finder, Tensors and                    Probabilities, Model Interpretation and few more topics related to the same from here. 📗                    Notebook:🔰 Chest X-Rays Classification: https://lnkd.in/gQsmTMQp📈 I have                    presented the implementation of Initializing Data Block and Data Loaders, Training Pretrained Model                    and Interpretation using Fastai and PyTorch here in the snapshot. I hope you will gain some insights                    and work on the same. I hope you will also spend some time learning the topics from the Book                    mentioned below. Excited about the days ahead !!📚 Deep Learning for Coders with Fastai and                    PyTorch📒 Journey on Machine Learning and Deep Learning : https://lnkd.in/d-aDKvq📒                    Fastai                    : https://lnkd.in/dfDtfjs#66DaysOfData #machinelearning #deeplearning #fastai #datascience #artificialintelligence #linkedincommunity #linkedinupdate #computervision #python",True
/feed/update/urn:li:activity:6849725750061465600/,"🏆 Day 279 of #300DaysOfData!🎯 On my Journey of Machine Learning and Deep Learning, I have                    read and implemented from the book ""Deep Learning for Coders with Fastai and PyTorch"". Here, I have                    read Binary Classification, Chest X-Rays, DICOM or Digital Imaging and Communications in Medicine,                    Plotting the DICOM Data, Random Splitter Function, Medical Imaging, Pixel Data and few more topics                    related to the same from here.📗 Notebook:🔰 Chest X-Rays Classification:                    https://lnkd.in/gQsmTMQp📈 I have presented the implementation of Getting DICOM Files and                    Inspection using Fastai and PyTorch here in the snapshot. I hope you will gain some insights and                    work on the same. I hope you will also spend some time learning the topics from the Book mentioned                    below. Excited about the days ahead !!📚 Deep Learning for Coders with Fastai and                    PyTorch📒 Journey on Machine Learning and Deep Learning : https://lnkd.in/d-aDKvq📒                    Fastai                    : https://lnkd.in/dfDtfjs#66DaysOfData #machinelearning #deeplearning #fastai #datascience #artificialintelligence #linkedincommunity #linkedinupdate #computervision #python",True
/feed/update/urn:li:activity:6848921648570093568/,"🏆 Day 278 of #300DaysOfData!🎯 On my Journey of Machine Learning and Deep Learning, I                    have read and implemented from the book ""Deep Learning for Coders with Fastai and PyTorch"". Here, I                    have read about Data, Convolutional Neural Net Model, Loss Function, Stochastic Gradient Descent and                    Optimization Function, Learner, Callbacks, Parameters, Training and Epochs and few more topics                    related to the same from here. 📗 Notebook:🔰 Fastai Learner                    : https://lnkd.in/dwfwK3vP📈 I have presented the implementation of Learner and                    Callbacks using Fastai and PyTorch here in the snapshot. I hope you will gain some insights and work                    on the same. I hope you will also spend some time learning the topics from the Book mentioned below.                    Excited about the days ahead !!📚 Deep Learning for Coders with Fastai and PyTorch📒                    Journey on Machine Learning and Deep Learning : https://lnkd.in/d-aDKvq📒 Fastai                    : https://lnkd.in/dfDtfjs#66DaysOfData #machinelearning #deeplearning #fastai #datascience #artificialintelligence #linkedincommunity #linkedinupdate #computervision #python",True
/feed/update/urn:li:activity:6848227591493582848/,"🏆 Day 277 of #300DaysOfData!🎯 On my Journey of Machine Learning and Deep Learning, I                    have read and implemented from the book ""Deep Learning for Coders with Fastai and PyTorch"". Here, I                    have read about Loss Function, Negative Log Likelihood Function, Log Softmax Function, Log of Sum of                    Exponentials, Stochastic Gradient Descent Optimizer Function, Data Loaders, Training and Validation                    Sets and few more topics related to the same from here. 📗 Notebook:🔰 Fastai Learner                    : https://lnkd.in/dwfwK3vP📈 I have presented the implementation of Negative Log                    Likelihood Function, Cross Entropy Loss Function, SGD Optimizer and Data Loaders using Fastai and                    PyTorch here in the snapshot. I hope you will gain some insights and work on the same. I hope you                    will also spend some time learning the topics from the Book mentioned below. Excited about the days                    ahead !!📚 Deep Learning for Coders with Fastai and PyTorch📒 Journey on Machine                    Learning and Deep Learning : https://lnkd.in/d-aDKvq📒 Fastai                    : https://lnkd.in/dfDtfjs#66DaysOfData #machinelearning #deeplearning #fastai #datascience #artificialintelligence #linkedincommunity #linkedinupdate #computervision #python",True
/feed/update/urn:li:activity:6847736839265124352/,"🏆 Day 276 of #300DaysOfData!🎯 On my Journey of Machine Learning and Deep Learning, I                    have read and implemented from the book ""Deep Learning for Coders with Fastai and PyTorch"". Here, I                    have read about Convolutional Neural Networks, Linear Model, Testing Module, Sequential Module,                    Parameters, Adaptive Pooling Layer and Mean, Stride, Hook Function, Pipeline and few more topics                    related to the same from here. 📗 Notebook:🔰 Fastai Learner                    : https://lnkd.in/dwfwK3vP📈 I have presented the implementation of Testing Module,                    Sequential Module and Convolutional Neural Network using Fastai and PyTorch here in the snapshot. I                    hope you will gain some insights and work on the same. I hope you will also spend some time learning                    the topics from the Book mentioned below. Excited about the days ahead !!📚 Deep Learning                    for Coders with Fastai and PyTorch📒 Journey on Machine Learning and Deep Learning                    : https://lnkd.in/d-aDKvq📒 Fastai                    : https://lnkd.in/dfDtfjs#66DaysOfData #machinelearning #deeplearning #fastai #datascience #artificialintelligence #linkedincommunity #linkedinupdate #computervision #python",True
/feed/update/urn:li:activity:6847519011756892160/,🔊 Hello Everyone! You can read or download the article now.,False
